,title,published,lat,lon,link_url,description,cause,acres
0,Creek Fire (Wildfire),"Thu, 03 Dec 2020 18:06:37 -06:00",37.201111111111,-119.27166666667,http://inciweb.nwcg.gov/incident/7147/, ,Unknown,379895
1,Riverside Fire (Wildfire),"Thu, 03 Dec 2020 17:48:24 -06:00",45.049166666667,-122.06222222222,http://inciweb.nwcg.gov/incident/7174/,"The Riverside Fire started September 8, 2020 and quickly spread to over 138,000 acres.  Fire recovery information & updates can be found on the Mt. Hood National Forest website: https://www.fs.usda.gov/detail/mthood/fire/?cid=fseprd835619  ",Unknown,379895
2,Dolan Fire (Wildfire),"Thu, 03 Dec 2020 15:40:38 -06:00",36.123333333333,-121.60166666667,http://inciweb.nwcg.gov/incident/7018/, The Dolan Fire will be considered contained/controlled/out when we receive sufficient,Human,138054
3,Klamath NF RX Burning 2020/2021 (Prescribed Fire),"Thu, 03 Dec 2020 15:09:37 -06:00",41.738611111111,-122.77888888889,http://inciweb.nwcg.gov/incident/7274/,"After a challenging fire season, the arrival of rain and snow has allowed Klamath National Forest firefighters to shift their focus to prescribed pile burning activities. Recent wildfires and their effects on communities have underscored the need for the continuance of fuels reduction projects. Fuels reduction not only helps to make communities more defensible during wildfires, but also improves a forest’s resiliency to wildfire.Fire managers use pile burning as one way to reduce fuels on National Forest lands. Piles may be produced as a result of logging activities where slash and tops are piled at landings for burning purposes, or may be created by hand thinning in areas where heavy equipment can’t be used to thin the forest. Pile burning is effective because it can be accomplished during wet or snowy conditions, allowing a long window of time for burning opportunities. It also is effective at reducing fuels in overly dense stands that could burn too intensely using...",Unknown,379895
4,Rattlesnake Fire (Wildfire),"Thu, 03 Dec 2020 13:31:38 -06:00",36.419722222222,-118.44833333333,http://inciweb.nwcg.gov/incident/7131/,"The Rattlesnake Fire was discovered on August 16 after substantial lightning occurred over the area. It started within the Sequoia and Kings Canyon Wilderness in the Kern River drainage and is now only actively burning just into the Inyo National Forest, east of the Kern River Ranger Station. The fire is burning in steep inaccessible terrain with sparse ground fuels and pockets of dead and down trees. While the size of the fire has increased, there are no current threats to life or property.  In coordination, Sequoia & Kings Canyon National Parks and Inyo National Forest, are using a confine and contain full-suppression strategy utilizing natural rock features, existing trails, and other natural barriers as containment lines. Not only does this limit exposure to firefighters and minimizes impacts in the wilderness, it allows firefighting resources to be available to battle other wildfires across the area and state that have a greater threat to life and property.   Following the first...",Human,138054
5,Cameron Peak Fire (Wildfire),"Thu, 03 Dec 2020 13:00:37 -06:00",40.608611111111,-105.87916666667,http://inciweb.nwcg.gov/incident/6964/,The Southern Area Gold Type 2 Incident Management Team assumed command of the Cameron Peak Fire on November 22nd at 6:00 pm. The Cameron Peak fire ignited on August 13 on the Arapaho and Roosevelt National Forests near Cameron Pass and Chambers Lake. The East Thompson Zone Fire started on October 22 when the East Troublesome Fire spotted across the Continental Divide and became established in Rocky Mountain National Park between the Divide and Estes Park.  The fires burned in heavy timber stands over rugged terrain. High winds combined with critically dry fuels drove fire growth. Cooler temperatures and widespread snow over the area has been dampening fire activity. There are no evacuations in place at this,Unknown,124924
6,2020-21 Royal Gorge FO Pile Burns (Prescribed Fire),"Thu, 03 Dec 2020 10:39:27 -06:00",38.444722222222,-105.19638888889,http://inciweb.nwcg.gov/incident/7266/,"November 12, 2020Bureau of Land Management plans fall-winter pile burns in Chaffee, Custer, and Fremont counties The Bureau of Land Management Rocky Mountain District Fire and Aviation Management Unit is preparing to conduct pile burns in nine locations this winter on Royal Gorge Field Office-managed lands in Chaffee, Fremont, and Custer counties.  The objective of the pile burns is to remove the slash left behind from timber harvests and previous fuels treatments. Timber harvests and fuels treatments remove beetle-killed timber and other fuels, reducing the risk of future catastrophic wildfires. They also help create various stages of plant succession, which is critical to the health of fire-adapted ecosystems. These burns will remove the leftover piled fuels but may burn some nearby live vegetation in in the project area, as well. The locations of these pile burn projects for winter 2020-2021 are as follows: Hole in the Rock: 2,400 hand-built piles among Ponderosa Pine, Piñon...",Unknown,379895
7,Shasta-Trinity RX Burning 2020/2021 (Prescribed Fire),"Wed, 02 Dec 2020 09:33:20 -06:00",41.371944444444,-121.97138888889,http://inciweb.nwcg.gov/incident/7268/," See the 'Announcements' and 'News' Tabs for the latest information on current prescribed burns.  As temperatures drop and the first precipitation of the season arrives, the Shasta-Trinity National Forest begins conducting its fall, winter and spring prescribed fire projects.   Pre-planned prescribed fire projects may take place at specific locations across the forest from November 2020 through June 2021. Actual project ignition will depend upon local weather and fuel conditions. Planned projects include burning piles as well as low-intensity understory burns of vegetation on the forest floor. The main goals of these projects are to reduce the severity of future wildfires and to provide added protection for communities in the wildland urban interface. In addition, prescribed burns promote a diverse and more resilient forest and improve habitat for wildlife.   “With the onset of cool temperatures and recent wet weather, our first prescribed fire projects are being planned north...",Human,138054
8,Woodhead BAER (Burned Area Emergency Response),"Tue, 01 Dec 2020 17:51:59 -06:00",44.756111111111,-116.87666666667,http://inciweb.nwcg.gov/incident/7262/,"  The Woodhead Fire burned almost 100,000 acres to date and is now 100% contained. The burned area is located east of Council, Idaho including lands in the Payette National Forest. Starting September 28, a team of Forest Service specialists conducted field assessments to determine the need for burned area emergency response (BAER) treatments. Specialists included hydrology, soils, engineering, botany, range, recreation, fisheries, archeology, and wildlife. BAER is a specific effort to reduce further damage due to the land being temporarily exposed in a fragile condition. Loss of vegetation exposes soil to erosion; water runoff may increase and cause flooding; sediment may move downstream and damage houses or fill reservoirs, putting habitat and community water supplies at risk. The BAER program is designed to address these situations through the key goals of protecting life, property, water quality, and deteriorated ecosystems.  Led by West Zone Hydrologist Melanie Vining, the...",Unknown,124924
9,Big Hollow Fire (Wildfire),"Tue, 01 Dec 2020 13:44:54 -06:00",45.926944444444,-121.98,http://inciweb.nwcg.gov/incident/7171/," The Big Hollow Fire is now considered to be 70% contained.   Due to the rugged remoteness of the area where much of the fire is burning total containment is not likely to occur until the snow flies or a season ending weather event occurs.  Limited smoldering and creeping may continue, but the fire is not expected to move beyond its current footprint as humidity levels remain high.  An area closure remains in effect.  There are currently no personal use restriction in place.    On Sat., Oct. 10th the Type IV Team assigned to the fire passed incident command back to the Mt. Adams Ranger District.  All resources have  been demobilized and all contractors have removed their equipment from the fire.  A Burn Area Emergency Response Team submitted an emergency rehabilitation and restoration plan on 10/13/2020.  Fall repair needs are almost accomplished and the rest will be tackled in the Spring.  The Duty Officers and Forest Incident Commanders are aware of the remaining needs....",Prescribed Fire,n/a
10,East Troublesome Post-Fire BAER (Burned Area Emergency Response),"Tue, 01 Dec 2020 10:45:30 -06:00",40.25,-105.9,http://inciweb.nwcg.gov/incident/7267/,"THREE PHASES OF WILDFIRE RECOVERYThere are three phases of recovery following wildfires on federal lands: Fire Suppression Repair is a series of immediate post-fire actions taken to repair damages and minimize potential soil erosion and impacts resulting from fire suppression activities and usually begins before the fire is contained, and before the demobilization of an Incident Management Team. This work repairs the hand and dozer fire lines, roads, trails, staging areas, safety zones, and drop points used during fire suppression efforts.Emergency Stabilization-Burned Area Emergency Response (BAER) is a rapid assessment of burned watersheds by a BAER team to identify imminent post-wildfire threats to human life and safety, property, and critical natural or cultural resources on National Forest System lands and take immediate actions to implement emergency stabilization measures before the first post-fire damaging events. Fires result in loss of vegetation, exposure of soil to...",Unknown,379895
11,East Troublesome Fire (Wildfire),"Tue, 01 Dec 2020 10:43:57 -06:00",40.200555555556,-106.23416666667,http://inciweb.nwcg.gov/incident/7242/,"The East Troublesome Fire was reported on the afternoon of October 14. The origination point was northeast of Kremmling in Grand County, Colo. on the Arapaho National Forest. The cause is still under investigation. Within three days, high winds and low humidity allowed the fire to spread to over 10,000 acres. The direction of fire spread threatened State Highway 125 and forced the closure of the road and mandatory evacuation of approximately 90 homes by October 17.Between Oct. 20-23, the fire spread increased dramatically with 24-hour increases of around 18,000 to 87,000 acres during the four-day run. The peak fire spread of 87,093 acres occurred between late afternoon on Oct. 21 and the early afternoon of Oct. 22. The size of the fire exploded from 18,550 acres to 187,964 acres during this period. The fire crossed Highway 125 on the afternoon of Oct. 21 and spread eastward into the Rocky Mountain National Park on Oct. 22, crossing the Continental Divide and reaching the western edge...",Human,138054
